Title,description,price,Capacity,Grape,closure,country,Characteristics,type,ABV,region,style,vintage
Gran Bericanto Rosso Riserva Colli Berici DOC,"Gran Bericanto Rosso Riserva Colli Berici DOC (Mourvèdre) is a refined red wine from Germany, specifically the n region. Produced from the 2018 vintage, it offers flavors of raisin, tropical fruit, quince and is best described as Crisp & Zesty. Alcohol content: 14.5%.",$40.99,0.75,Mourvèdre,Natural Cork,Germany,"raisin, tropical fruit, quince",Red,14.5%,n,Crisp & Zesty,2018
Masseria Altemura Zinzula Rose,"Masseria Altemura Zinzula Rose (Syrah) is a refined rose wine from Moldova, specifically the M region. Produced from the 2014 vintage, it offers flavors of fruit, pepper, oak and is best described as Fresh & Elegant. Alcohol content: 12.5%.",$12.33,0.75,Syrah,Natural Cork,Moldova,"fruit, pepper, oak",Rose,12.5%,M,Fresh & Elegant,2014
Petaluma White Label Adelaide Hills Shiraz,"Petaluma White Label Adelaide Hills Shiraz (Barbera) is a refined red wine from Moldova, specifically the a region. Produced from the 2017 vintage, it offers flavors of flowers, apricot, lemon zest and is best described as Delicate & Dry. Alcohol content: 12.0%.",$41.00,0.75,Barbera,Natural Cork,Moldova,"flowers, apricot, lemon zest",Red,12.0%,a,Delicate & Dry,2017
Petaluma White Label Adelaide Hills Sauvignon Blanc,"Petaluma White Label Adelaide Hills Sauvignon Blanc (Sauvignon Blanc) is a refined white wine from Spain, specifically the Castilla-La Mancha region. Produced from the 2005 vintage, it offers flavors of blackberry, vanilla, spice and is best described as Light & Refreshing. Alcohol content: 14.0%.",$8.00,0.75,Sauvignon Blanc,Natural Cork,Spain,"blackberry, vanilla, spice",White,14.0%,Castilla-La Mancha,Light & Refreshing,2005
Petaluma White Label Adelaide Hills Chardonnay,"Petaluma White Label Adelaide Hills Chardonnay (Chardonnay) is a refined white wine from Argentina, specifically the Mendoza region. Produced from the 2017 vintage, it offers flavors of honeysuckle, blackberry, tropical fruit and is best described as Ripe & Fruity. Alcohol content: 11.5%.",$14.00,0.75,Chardonnay,Natural Cork,Argentina,"honeysuckle, blackberry, tropical fruit",White,11.5%,Mendoza,Ripe & Fruity,2017
Petaluma White Label Coonawarra Cabernet Sauvignon,"Petaluma White Label Coonawarra Cabernet Sauvignon (Cabernet Sauvignon) is a refined red wine from Austria, specifically the Styria region. Produced from the 2011 vintage, it offers flavors of almond, pear, perfume and is best described as Light & Elegant. Alcohol content: 15.0%.",$17.00,0.75,Cabernet Sauvignon,Natural Cork,Austria,"almond, pear, perfume",Red,15.0%,Styria,Light & Elegant,2011
Cave de Ribeauville Collection Gewurztraminer 2018,"Cave de Ribeauville Collection Gewurztraminer 2018 (Viognier) is a refined white wine from Argentina, specifically the Mendoza region. Produced from the 2018 vintage, it offers flavors of chocolate, violet, red fruit and is best described as Ripe & Rounded. Alcohol content: 13.5%.",$27.00,0.75,Viognier,Natural Cork,Argentina,"chocolate, violet, red fruit",White,13.5%,Mendoza,Ripe & Rounded,2018
Aphros Aether 2013,"Aphros Aether 2013 (Prosecco) is a refined white wine from Portugal, specifically the Dao region. Produced from the 2013 vintage, it offers flavors of flowers, caramel, flowers and is best described as Light & Elegant. Alcohol content: 11.5%.",$18.00,0.75,Prosecco,Natural Cork,Portugal,"flowers, caramel, flowers",White,11.5%,Dao,Light & Elegant,2013
Gino Pedrotti Nosiola 2019,"Gino Pedrotti Nosiola 2019 (Trebbiano) is a refined white wine from New Zealand, specifically the Martinborough region. Produced from the 2019 vintage, it offers flavors of clove, green pepper, passion fruit and is best described as Savoury & Full Bodied. Alcohol content: 14.5%.",$22.25,0.75,Trebbiano,Natural Cork,New Zealand,"clove, green pepper, passion fruit",White,14.5%,Martinborough,Savoury & Full Bodied,2019
Bolyki Egri Bikaver Superior PDO,"Bolyki Egri Bikaver Superior PDO (Barbera) is a refined red wine from Slovenia, specifically the n region. Produced from the 2003 vintage, it offers flavors of sweetness, incense, vanilla and is best described as Rich & Juicy. Alcohol content: 12.0%.",$45.62,0.75,Barbera,Natural Cork,Slovenia,"sweetness, incense, vanilla",Red,12.0%,n,Rich & Juicy,2003
Mud House Central Otago Pinot Noir,"Mud House Central Otago Pinot Noir (Pinot Noir) is a refined red wine from New Zealand, specifically the Hawkes Bay region. Produced from the 2006 vintage, it offers flavors of earth, honey, flowers and is best described as Rich & Toasty. Alcohol content: 11.0%.",$56.31,0.75,Pinot Noir,Natural Cork,New Zealand,"earth, honey, flowers",Red,11.0%,Hawkes Bay,Rich & Toasty,2006
Eugenio Rosi Riflesso Rosi,"Eugenio Rosi Riflesso Rosi (Nebbiolo) is a refined rose wine from Bulgaria, specifically the a region. Produced from the 2006 vintage, it offers flavors of strawberry, tobacco, violet and is best described as Ripe & Rounded. Alcohol content: 11.0%.",$13.00,0.75,Nebbiolo,Natural Cork,Bulgaria,"strawberry, tobacco, violet",Rose,11.0%,a,Ripe & Rounded,2006
Fontanassa Gavi di Gavi Rovereto,"Fontanassa Gavi di Gavi Rovereto (Prosecco) is a refined white wine from Australia, specifically the Western Australia region. Produced from the 2003 vintage, it offers flavors of green apple, wax, nuts and is best described as Crisp & Fruity. Alcohol content: 13.0%.",$36.14,0.75,Prosecco,Natural Cork,Australia,"green apple, wax, nuts",White,13.0%,Western Australia,Crisp & Fruity,2003
Tomassetti Cercanome 2020,"Tomassetti Cercanome 2020 (Fiano) is a refined white wine from Serbia, specifically the b region. Produced from the 2020 vintage, it offers flavors of clove, coffee, perfume and is best described as Rich & Juicy. Alcohol content: 12.0%.",$32.09,0.75,Fiano,Natural Cork,Serbia,"clove, coffee, perfume",White,12.0%,b,Rich & Juicy,2020
Supersanum Sinergico Rosso 2020,"Supersanum Sinergico Rosso 2020 (Tannat) is a refined red wine from France, specifically the Corsica region. Produced from the 2020 vintage, it offers flavors of peach, coffee, spice and is best described as Delicate & Dry. Alcohol content: 12.0%.",$36.00,0.75,Tannat,Natural Cork,France,"peach, coffee, spice",Red,12.0%,Corsica,Delicate & Dry,2020
Berte e Cordini Lughet Chardonnay Oltrepò Pavese,"Berte e Cordini Lughet Chardonnay Oltrepò Pavese (Chardonnay) is a refined white wine from Greece, specifically the c region. Produced from the 2006 vintage, it offers flavors of red fruit, incense, almond and is best described as Smooth & Mellow. Alcohol content: 13.0%.",$14.00,0.75,Chardonnay,Natural Cork,Greece,"red fruit, incense, almond",White,13.0%,c,Smooth & Mellow,2006
Loimer Riesling Kamptal DAC,"Loimer Riesling Kamptal DAC (Riesling) is a refined white wine from Spain, specifically the Castilla Y León region. Produced from the 2003 vintage, it offers flavors of asparagus, blueberry, pineapple and is best described as Bold & Spicy. Alcohol content: 13.5%.",$15.00,0.75,Riesling,Natural Cork,Spain,"asparagus, blueberry, pineapple",White,13.5%,Castilla Y León,Bold & Spicy,2003
Repetto Timorasso Quadro Derthona Colli Tortonesi,"Repetto Timorasso Quadro Derthona Colli Tortonesi (Verdejo) is a refined white wine from England, specifically the Sussex region. Produced from the 2003 vintage, it offers flavors of perfume, raspberry, honeysuckle and is best described as Rich & Toasty. Alcohol content: 12.0%.",$53.00,0.75,Verdejo,Natural Cork,England,"perfume, raspberry, honeysuckle",White,12.0%,Sussex,Rich & Toasty,2003
Terrazas de los Andes Reserva Torrontes,"Terrazas de los Andes Reserva Torrontes (Torrontes) is a refined white wine from Argentina, specifically the Mendoza region. Produced from the 2009 vintage, it offers flavors of nuts, honeysuckle, clove and is best described as Soft & Fruity. Alcohol content: 14.0%.",$53.00,0.75,Torrontes,Natural Cork,Argentina,"nuts, honeysuckle, clove",White,14.0%,Mendoza,Soft & Fruity,2009
Terrazas de Los Andes Reserva Malbec,"Terrazas de Los Andes Reserva Malbec (Malbec) is a refined red wine from Argentina, specifically the San Juan region. Produced from the 2018 vintage, it offers flavors of honeysuckle, spice, plum and is best described as Aromatic & Floral. Alcohol content: 11.5%.",$45.80,0.75,Malbec,Natural Cork,Argentina,"honeysuckle, spice, plum",Red,11.5%,San Juan,Aromatic & Floral,2018
Montanaro Vermouth di Torino Bianco,"Montanaro Vermouth di Torino Bianco (Semillon) is a refined white wine from Romania, specifically the a region. Produced from the 2021 vintage, it offers flavors of tobacco, citrus, quince and is best described as Savoury & Full Bodied. Alcohol content: 14.5%.",$14.87,0.75,Semillon,Natural Cork,Romania,"tobacco, citrus, quince",White,14.5%,a,Savoury & Full Bodied,2021
Montanaro Vermouth di Torino Extra Dry,"Montanaro Vermouth di Torino Extra Dry (Trebbiano) is a refined white wine from Bulgaria, specifically the r region. Produced from the 2015 vintage, it offers flavors of almond, clove, hay and is best described as Soft & Fruity. Alcohol content: 13.0%.",$6.50,0.75,Trebbiano,Natural Cork,Bulgaria,"almond, clove, hay",White,13.0%,r,Soft & Fruity,2015
Montanaro Vermouth di Torino Rosso,"Montanaro Vermouth di Torino Rosso (Cava) is a refined red wine from France, specifically the Corsica region. Produced from the 2018 vintage, it offers flavors of caramel, flowers, nuts and is best described as Aromatic & Floral. Alcohol content: 12.0%.",$30.00,0.75,Cava,Natural Cork,France,"caramel, flowers, nuts",Red,12.0%,Corsica,Aromatic & Floral,2018
Weninger Ponzichter,"Weninger Ponzichter (Lambrusco) is a refined red wine from Hungary, specifically the g region. Produced from the 2004 vintage, it offers flavors of honey, chocolate, pear and is best described as Light & Elegant. Alcohol content: 14.5%.",$11.00,0.75,Lambrusco,Natural Cork,Hungary,"honey, chocolate, pear",Red,14.5%,g,Light & Elegant,2004
Castello di Albola Chianti Classico Riserva,"Castello di Albola Chianti Classico Riserva (Merlot) is a refined red wine from USA, specifically the California region. Produced from the 2019 vintage, it offers flavors of sweetness, vanilla, wax and is best described as Ripe & Rounded. Alcohol content: 13.0%.",$12.00,0.75,Merlot,Natural Cork,USA,"sweetness, vanilla, wax",Red,13.0%,California,Ripe & Rounded,2019
Aphros Vinhão 2010,"Aphros Vinhão 2010 (Sangiovese) is a refined red wine from Portugal, specifically the Dao region. Produced from the 2010 vintage, it offers flavors of red fruit, earth, mango and is best described as Light & Elegant. Alcohol content: 12.5%.",$51.51,0.75,Sangiovese,Natural Cork,Portugal,"red fruit, earth, mango",Red,12.5%,Dao,Light & Elegant,2010
Domaine Guy & Yvan Dufouleur – Bourgogne Aligote 2020,"Domaine Guy & Yvan Dufouleur – Bourgogne Aligote 2020 (Riesling) is a refined white wine from Chile, specifically the Chile region. Produced from the 2020 vintage, it offers flavors of minerals, leather, leather and is best described as Rich & Juicy. Alcohol content: 14.5%.",$12.00,0.75,Riesling,Natural Cork,Chile,"minerals, leather, leather",White,14.5%,Chile,Rich & Juicy,2020
Domini Veneti La Casetta Ripasso Valpolicella Classico Superiore,"Domini Veneti La Casetta Ripasso Valpolicella Classico Superiore (Valpolicella) is a refined red wine from Austria, specifically the Burgenland region. Produced from the 2016 vintage, it offers flavors of tropical fruit, perfume, oak and is best described as Crisp & Zesty. Alcohol content: 14.0%.",$39.07,0.75,Valpolicella,Natural Cork,Austria,"tropical fruit, perfume, oak",Red,14.0%,Burgenland,Crisp & Zesty,2016
Aphros Loureiro 2022,"Aphros Loureiro 2022 (Soave) is a refined white wine from Portugal, specifically the Alentejo region. Produced from the 2022 vintage, it offers flavors of blueberry, pepper, earth and is best described as Fresh & Elegant. Alcohol content: 13.5%.",$55.99,0.75,Soave,Natural Cork,Portugal,"blueberry, pepper, earth",White,13.5%,Alentejo,Fresh & Elegant,2022
Bott Frigyes Muszla,"Bott Frigyes Muszla (Fiano) is a refined white wine from England, specifically the Sussex region. Produced from the 2014 vintage, it offers flavors of propolis, apricot, flowers and is best described as Ripe & Fruity. Alcohol content: 12.0%.",$35.00,0.75,Fiano,Natural Cork,England,"propolis, apricot, flowers",White,12.0%,Sussex,Ripe & Fruity,2014
Cave de Ribeauville Gewurztraminer Bio,"Cave de Ribeauville Gewurztraminer Bio (Viognier) is a refined white wine from Georgia, specifically the l region. Produced from the 2001 vintage, it offers flavors of strawberry, black fruit, mulberry and is best described as Smooth & Mellow. Alcohol content: 11.5%.",$17.00,0.75,Viognier,Natural Cork,Georgia,"strawberry, black fruit, mulberry",White,11.5%,l,Smooth & Mellow,2001
Mandrarossa Bonera,"Mandrarossa Bonera (Malbec) is a refined red wine from France, specifically the Bourgogne region. Produced from the 2018 vintage, it offers flavors of raisin, wax, green apple and is best described as Aromatic & Floral. Alcohol content: 14.0%.",$43.00,0.75,Malbec,Natural Cork,France,"raisin, wax, green apple",Red,14.0%,Bourgogne,Aromatic & Floral,2018
Graziano Pra Valpolicella Morandina,"Graziano Pra Valpolicella Morandina (Valpolicella) is a refined red wine from South Africa, specifically the Swartland region. Produced from the 2002 vintage, it offers flavors of vanilla, vanilla, chocolate and is best described as Crisp & Fruity. Alcohol content: 12.5%.",$45.00,0.75,Valpolicella,Natural Cork,South Africa,"vanilla, vanilla, chocolate",Red,12.5%,Swartland,Crisp & Fruity,2002
Mandrarossa Etna Rosso 2019,"Mandrarossa Etna Rosso 2019 (Touriga Nacional) is a refined red wine from South Africa, specifically the Robertson region. Produced from the 2019 vintage, it offers flavors of sweetness, pear, nuts and is best described as Fresh & Elegant. Alcohol content: 12.0%.",$19.00,0.75,Touriga Nacional,Natural Cork,South Africa,"sweetness, pear, nuts",Red,12.0%,Robertson,Fresh & Elegant,2019
Sattlerhof Südsteiermark Sauvignon Blanc 2023,"Sattlerhof Südsteiermark Sauvignon Blanc 2023 (Sauvignon Blanc) is a refined white wine from Romania, specifically the i region. Produced from the 2023 vintage, it offers flavors of plum, cherry, mushrooms and is best described as Crisp & Fruity. Alcohol content: 14.0%.",$52.03,0.75,Sauvignon Blanc,Natural Cork,Romania,"plum, cherry, mushrooms",White,14.0%,i,Crisp & Fruity,2023
Volcanalia Marameo,"Volcanalia Marameo (Muscat) is a refined white wine from France, specifically the Alsace region. Produced from the 2001 vintage, it offers flavors of chocolate, lemon zest, hazelnut and is best described as Savoury & Full Bodied. Alcohol content: 15.0%.",$40.00,0.75,Muscat,Natural Cork,France,"chocolate, lemon zest, hazelnut",White,15.0%,Alsace,Savoury & Full Bodied,2001
Chateau Les Lions de Suduiraut Blanc 2022,"Chateau Les Lions de Suduiraut Blanc 2022 (Vernaccia) is a refined white wine from Georgia, specifically the K region. Produced from the 2022 vintage, it offers flavors of vanilla, mango, passion fruit and is best described as Ripe & Fruity. Alcohol content: 12.5%.",$6.88,0.75,Vernaccia,Natural Cork,Georgia,"vanilla, mango, passion fruit",White,12.5%,K,Ripe & Fruity,2022
Chateau d’Esclans Whispering Angel 2023,"Chateau d’Esclans Whispering Angel 2023 (Nebbiolo) is a refined rose wine from Greece, specifically the c region. Produced from the 2023 vintage, it offers flavors of strawberry, mushrooms, earth and is best described as Aromatic & Floral. Alcohol content: 13.0%.",$16.86,0.75,Nebbiolo,Natural Cork,Greece,"strawberry, mushrooms, earth",Rose,13.0%,c,Aromatic & Floral,2023
Bott Frigyes Juhfark,"Bott Frigyes Juhfark (Trebbiano) is a refined white wine from Spain, specifically the Catalunya region. Produced from the 2002 vintage, it offers flavors of pepper, spice, plum and is best described as Savoury & Full Bodied. Alcohol content: 11.5%.",$6.00,0.75,Trebbiano,Natural Cork,Spain,"pepper, spice, plum",White,11.5%,Catalunya,Savoury & Full Bodied,2002
Weninger Furmint vom Kalk 2021,"Weninger Furmint vom Kalk 2021 (Gruner Veltliner) is a refined white wine from USA, specifically the California region. Produced from the 2021 vintage, it offers flavors of peanut, mulberry, apricot and is best described as Rich & Juicy. Alcohol content: 15.0%.",$7.00,0.75,Gruner Veltliner,Natural Cork,USA,"peanut, mulberry, apricot",White,15.0%,California,Rich & Juicy,2021
Mud House Claim 431 Pinot Noir,"Mud House Claim 431 Pinot Noir (Pinot Noir) is a refined red wine from New Zealand, specifically the Central Otago region. Produced from the 2014 vintage, it offers flavors of flowers, vanilla, honey and is best described as Crisp & Zesty. Alcohol content: 11.5%.",$54.00,0.75,Pinot Noir,Natural Cork,New Zealand,"flowers, vanilla, honey",Red,11.5%,Central Otago,Crisp & Zesty,2014
Repetto Croatina Eccentrico Colli Tortonesi,"Repetto Croatina Eccentrico Colli Tortonesi (Roussanne) is a refined red wine from Australia, specifically the Victoria region. Produced from the 2019 vintage, it offers flavors of incense, wax, perfume and is best described as Light & Refreshing. Alcohol content: 13.5%.",$49.00,0.75,Roussanne,Natural Cork,Australia,"incense, wax, perfume",Red,13.5%,Victoria,Light & Refreshing,2019
Repetto Barbera Monleale Colli Tortonesi,"Repetto Barbera Monleale Colli Tortonesi (Barbera) is a refined red wine from New Zealand, specifically the Nelson region. Produced from the 2013 vintage, it offers flavors of wax, apricot, green pepper and is best described as Fresh & Elegant. Alcohol content: 14.0%.",$55.00,0.75,Barbera,Natural Cork,New Zealand,"wax, apricot, green pepper",Red,14.0%,Nelson,Fresh & Elegant,2013
Repetto Quadro Colli Tortonesi Monleale,"Repetto Quadro Colli Tortonesi Monleale (Grenache) is a refined red wine from Serbia, specifically the i region. Produced from the 2010 vintage, it offers flavors of citrus, lemon zest, grass and is best described as Delicate & Dry. Alcohol content: 13.5%.",$10.00,0.75,Grenache,Natural Cork,Serbia,"citrus, lemon zest, grass",Red,13.5%,i,Delicate & Dry,2010
Sattlerhof Gamlitz Sauvignon blanc 2023,"Sattlerhof Gamlitz Sauvignon blanc 2023 (Riesling) is a refined white wine from Greece, specifically the c region. Produced from the 2023 vintage, it offers flavors of berries, clove, flint and is best described as Smooth & Light. Alcohol content: 11.0%.",$14.00,0.75,Riesling,Natural Cork,Greece,"berries, clove, flint",White,11.0%,c,Smooth & Light,2023
Noval Porto Black Reserve,"Noval Porto Black Reserve (Port) is a refined red wine from Portugal, specifically the Douro region. Produced from the 2003 vintage, it offers flavors of pineapple, coconut, violet and is best described as Bold & Spicy. Alcohol content: 12.5%.",$46.00,0.75,Port,Natural Cork,Portugal,"pineapple, coconut, violet",Red,12.5%,Douro,Bold & Spicy,2003
Haut-Medoc Diane de Belgrave 2015,"Haut-Medoc Diane de Belgrave 2015 (Lambrusco) is a refined red wine from Germany, specifically the m region. Produced from the 2015 vintage, it offers flavors of honey, date, pepper and is best described as Bold & Spicy. Alcohol content: 12.0%.",$49.22,0.75,Lambrusco,Natural Cork,Germany,"honey, date, pepper",Red,12.0%,m,Bold & Spicy,2015
François Villard l’Appel des Sereines 2021,"François Villard l’Appel des Sereines 2021 (Bardolino) is a refined red wine from Argentina, specifically the San Juan region. Produced from the 2021 vintage, it offers flavors of incense, date, grape and is best described as Crisp & Zesty. Alcohol content: 14.5%.",$43.00,0.75,Bardolino,Natural Cork,Argentina,"incense, date, grape",Red,14.5%,San Juan,Crisp & Zesty,2021
Le Rocher des Violettes Touraine Cabernet Franc 2018,"Le Rocher des Violettes Touraine Cabernet Franc 2018 (Marsanne) is a refined red wine from Greece, specifically the e region. Produced from the 2018 vintage, it offers flavors of plum, nuts, passion fruit and is best described as Rich & Juicy. Alcohol content: 12.5%.",$12.42,0.75,Marsanne,Natural Cork,Greece,"plum, nuts, passion fruit",Red,12.5%,e,Rich & Juicy,2018
Fontanassa Citu 1921 Gavi di Gavi Rovereto,"Fontanassa Citu 1921 Gavi di Gavi Rovereto (Prosecco) is a refined white wine from Chile, specifically the Chile region. Produced from the 1921 vintage, it offers flavors of black fruit, wax, tobacco and is best described as Rich & Juicy. Alcohol content: 13.0%.",$5.44,0.75,Prosecco,Natural Cork,Chile,"black fruit, wax, tobacco",White,13.0%,Chile,Rich & Juicy,1921
Comm. Burlotto G.B. Barbera d’Alba DOC,"Comm. Burlotto G.B. Barbera d’Alba DOC (Barbera) is a refined red wine from Spain, specifically the Aragon region. Produced from the 2005 vintage, it offers flavors of blueberry, green apple, caramel and is best described as Delicate & Dry. Alcohol content: 11.5%.",$53.57,0.75,Barbera,Natural Cork,Spain,"blueberry, green apple, caramel",Red,11.5%,Aragon,Delicate & Dry,2005
Berte e Cordini Valmaga,"Berte e Cordini Valmaga (Touriga Nacional) is a refined red wine from Hungary, specifically the y region. Produced from the 2000 vintage, it offers flavors of green pepper, nuts, oak and is best described as Crisp & Zesty. Alcohol content: 11.0%.",$12.00,0.75,Touriga Nacional,Natural Cork,Hungary,"green pepper, nuts, oak",Red,11.0%,y,Crisp & Zesty,2000
Comm. Burlotto G.B. Barbera d’Alba DOC 2022,"Comm. Burlotto G.B. Barbera d’Alba DOC 2022 (Barbera) is a refined red wine from Portugal, specifically the Dao region. Produced from the 2022 vintage, it offers flavors of blackberry, perfume, quince and is best described as Aromatic & Floral. Alcohol content: 11.0%.",$28.00,0.75,Barbera,Natural Cork,Portugal,"blackberry, perfume, quince",Red,11.0%,Dao,Aromatic & Floral,2022
Clos de los Siete,"Clos de los Siete (Cabernet Sauvignon) is a refined red wine from Argentina, specifically the Mendoza region. Produced from the 1998 vintage, it offers flavors of hay, green pepper, chocolate and is best described as Light & Refreshing. Alcohol content: 14.5%.",$31.33,0.75,Cabernet Sauvignon,Natural Cork,Argentina,"hay, green pepper, chocolate",Red,14.5%,Mendoza,Light & Refreshing,1998
Masseria Altemura Primitivo di Manduria,"Masseria Altemura Primitivo di Manduria (Primitivo) is a refined red wine from Romania, specifically the n region. Produced from the 2016 vintage, it offers flavors of mint, raisin, violet and is best described as Light & Elegant. Alcohol content: 12.0%.",$26.00,0.75,Primitivo,Natural Cork,Romania,"mint, raisin, violet",Red,12.0%,n,Light & Elegant,2016
Loimer Pinot Noir Reserve,"Loimer Pinot Noir Reserve (Pinot Noir) is a refined red wine from Moldova, specifically the v region. Produced from the 2000 vintage, it offers flavors of citrus, incense, quince and is best described as Ripe & Rounded. Alcohol content: 13.5%.",$44.00,0.75,Pinot Noir,Natural Cork,Moldova,"citrus, incense, quince",Red,13.5%,v,Ripe & Rounded,2000
Comm. G.B. Burlotto Langhe Freisa,"Comm. G.B. Burlotto Langhe Freisa (Zinfandel) is a refined red wine from Georgia, specifically the K region. Produced from the 2013 vintage, it offers flavors of hay, chocolate, hazelnut and is best described as Light & Refreshing. Alcohol content: 12.0%.",$40.00,0.75,Zinfandel,Natural Cork,Georgia,"hay, chocolate, hazelnut",Red,12.0%,K,Light & Refreshing,2013
Gino Pedrotti Schiava,"Gino Pedrotti Schiava (Cava) is a refined red wine from Bulgaria, specifically the u region. Produced from the 2006 vintage, it offers flavors of hazelnut, berries, hazelnut and is best described as Aromatic & Floral. Alcohol content: 11.0%.",$18.48,0.75,Cava,Natural Cork,Bulgaria,"hazelnut, berries, hazelnut",Red,11.0%,u,Aromatic & Floral,2006
Gino Pedrotti Schiava 2022,"Gino Pedrotti Schiava 2022 (Zinfandel) is a refined red wine from New Zealand, specifically the Central Otago region. Produced from the 2022 vintage, it offers flavors of violet, vanilla, mint and is best described as Light & Elegant. Alcohol content: 12.5%.",$37.78,0.75,Zinfandel,Natural Cork,New Zealand,"violet, vanilla, mint",Red,12.5%,Central Otago,Light & Elegant,2022
Comm. G.B. Burlotto Verduno Pelaverga 2022,"Comm. G.B. Burlotto Verduno Pelaverga 2022 (Malbec) is a refined red wine from Moldova, specifically the M region. Produced from the 2022 vintage, it offers flavors of red berries, grape, ginger and is best described as Savoury & Full Bodied. Alcohol content: 11.0%.",$29.00,0.75,Malbec,Natural Cork,Moldova,"red berries, grape, ginger",Red,11.0%,M,Savoury & Full Bodied,2022
Comm. G.B. Burlotto Viridis Langhe Sauvignon 2022,"Comm. G.B. Burlotto Viridis Langhe Sauvignon 2022 (Frascati) is a refined white wine from Romania, specifically the n region. Produced from the 2022 vintage, it offers flavors of raisin, green apple, caramel and is best described as Savoury & Full Bodied. Alcohol content: 11.5%.",$30.00,0.75,Frascati,Natural Cork,Romania,"raisin, green apple, caramel",White,11.5%,n,Savoury & Full Bodied,2022
Quinta Do Noval Porto LBV Unfiltered 2017,"Quinta Do Noval Porto LBV Unfiltered 2017 (Port) is a refined red wine from Portugal, specifically the Dao region. Produced from the 2017 vintage, it offers flavors of wax, vanilla, spice and is best described as Fresh & Elegant. Alcohol content: 13.5%.",$18.66,0.75,Port,Natural Cork,Portugal,"wax, vanilla, spice",Red,13.5%,Dao,Fresh & Elegant,2017
El Coto Coto Real Rioja Reserva,"El Coto Coto Real Rioja Reserva (Carmenere) is a refined red wine from Australia, specifically the South Australia region. Produced from the 2007 vintage, it offers flavors of flowers, tobacco, raisin and is best described as Light & Elegant. Alcohol content: 13.5%.",$20.09,0.75,Carmenere,Natural Cork,Australia,"flowers, tobacco, raisin",Red,13.5%,South Australia,Light & Elegant,2007
Supersanum Caminante Rosso,"Supersanum Caminante Rosso (Primitivo) is a refined red wine from France, specifically the Corsica region. Produced from the 2015 vintage, it offers flavors of passion fruit, sweetness, flowers and is best described as Savoury & Full Bodied. Alcohol content: 11.5%.",$37.44,0.75,Primitivo,Natural Cork,France,"passion fruit, sweetness, flowers",Red,11.5%,Corsica,Savoury & Full Bodied,2015
Chozas Carrascal Las Ocho 2020,"Chozas Carrascal Las Ocho 2020 (Carignan) is a refined red wine from Argentina, specifically the Mendoza region. Produced from the 2020 vintage, it offers flavors of mango, tropical fruit, sweetness and is best described as Soft & Fruity. Alcohol content: 13.0%.",$50.00,0.75,Carignan,Natural Cork,Argentina,"mango, tropical fruit, sweetness",Red,13.0%,Mendoza,Soft & Fruity,2020
François Villard Le Contours de Mairlant 2022,"François Villard Le Contours de Mairlant 2022 (Cortese) is a refined white wine from Greece, specifically the e region. Produced from the 2022 vintage, it offers flavors of fruit, honeysuckle, flowers and is best described as Light & Refreshing. Alcohol content: 14.5%.",$12.00,0.75,Cortese,Natural Cork,Greece,"fruit, honeysuckle, flowers",White,14.5%,e,Light & Refreshing,2022
Aphros Daphne,"Aphros Daphne (Fiano) is a refined white wine from Portugal, specifically the Dao region. Produced from the 2000 vintage, it offers flavors of flint, minerals, berries and is best described as Light & Refreshing. Alcohol content: 11.0%.",$39.00,0.75,Fiano,Natural Cork,Portugal,"flint, minerals, berries",White,11.0%,Dao,Light & Refreshing,2000
Aphros Silenus,"Aphros Silenus (Cinsault) is a refined red wine from Portugal, specifically the Douro region. Produced from the 2019 vintage, it offers flavors of red fruit, ginger, pear and is best described as Smooth & Mellow. Alcohol content: 12.0%.",$36.00,0.75,Cinsault,Natural Cork,Portugal,"red fruit, ginger, pear",Red,12.0%,Douro,Smooth & Mellow,2019
Seguinot-Bordet Chablis 2021,"Seguinot-Bordet Chablis 2021 (Gewürztraminer) is a refined white wine from Georgia, specifically the r region. Produced from the 2021 vintage, it offers flavors of red fruit, nuts, leather and is best described as Aromatic & Floral. Alcohol content: 11.5%.",$13.80,0.75,Gewürztraminer,Natural Cork,Georgia,"red fruit, nuts, leather",White,11.5%,r,Aromatic & Floral,2021
La Palazzina Coste della Sesia rosso DOC 2020,"La Palazzina Coste della Sesia rosso DOC 2020 (Carmenere) is a refined red wine from New Zealand, specifically the Marlborough region. Produced from the 2020 vintage, it offers flavors of coconut, tropical fruit, green pepper and is best described as Light & Elegant. Alcohol content: 14.0%.",$7.00,0.75,Carmenere,Natural Cork,New Zealand,"coconut, tropical fruit, green pepper",Red,14.0%,Marlborough,Light & Elegant,2020
Volcanalia Pinkopalla Ramato,"Volcanalia Pinkopalla Ramato (Cinsault) is a refined rose wine from Georgia, specifically the i region. Produced from the 2011 vintage, it offers flavors of spice, plum, blueberry and is best described as Fresh & Elegant. Alcohol content: 14.5%.",$5.01,0.75,Cinsault,Natural Cork,Georgia,"spice, plum, blueberry",Rose,14.5%,i,Fresh & Elegant,2011
Gino Pedrotti l’Aura Bianco 2017,"Gino Pedrotti l’Aura Bianco 2017 (Verdejo) is a refined white wine from Chile, specifically the Aconcagua region. Produced from the 2017 vintage, it offers flavors of earth, cinnamon, pineapple and is best described as Light & Refreshing. Alcohol content: 13.5%.",$28.58,0.75,Verdejo,Natural Cork,Chile,"earth, cinnamon, pineapple",White,13.5%,Aconcagua,Light & Refreshing,2017
